"from_journeys";"from_locations"
Crossharbour;Crossharbour & London Arena Station
Edgware Road B;Edgware Road Bakerloo Station
Edgware Road M;Edgware Road Circle Station
Great Portland St;Great Portland Street Station
Hammersmith D;Hammersmith (D & P) Station
Hammersmith M;Hammersmith Station
Heathrow Term 4;Heathrow Terminal 4 Station
Heathrow Term 5;Heathrow Terminal 5 Station
Heathrow Terms 123;Heathrow Terminals 1, 2, 3 Station
High Street Kens;High Street Kensington Station
Highbury;Highbury & Islington Station
Kings Cross;King's Cross St. Pancras Station
Shepherd's Bush Mkt;Shepherd's Bush Central Station
Shepherd's Bush Und;Shepherd's Bush Hammersmith & City Station
Tottenham Court Rd;Tottenham Court Road Station
Totteridge;Totteridge & Whetstone Station
Watford High Street;Watford Station
